movieId,total_ratings,ratings_average,title,genres
53,2,5.0,Lamerica (1994),Adventure|Drama
496,1,5.0,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
5513,1,5.0,Martin Lawrence Live: Runteldat (2002),Comedy|Documentary
84273,1,5.0,Zeitgeist: Moving Forward (2011),Documentary
113829,1,5.0,"One I Love, The (2014)",Comedy|Drama|Romance
147300,1,5.0,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),Crime|Mystery
150554,1,5.0,The Love Bug (1997),Adventure|Children|Comedy|Fantasy
152711,1,5.0,Who Killed Chea Vichea? (2010),Documentary
157775,1,5.0,Tenchi Muyô! In Love (1996),Animation|Comedy
173963,1,5.0,Empties (2007),Comedy
